QGC WPL 110
0	1	0	16	0	0	0	0	38.114267	-122.270547	5.000000	1
1	0	3	22	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	80.000000	1
2	0	3	16	0.000000	0.000000	0.000000	0.000000	38.115465	-122.270215	100.000000	1
3	0	3	16	0.000000	0.000000	0.000000	0.000000	38.114908	-122.271835	100.000000	1
4	0	3	16	0.000000	0.000000	0.000000	0.000000	38.112621	-122.270944	100.000000	1
5	0	3	16	0.000000	0.000000	0.000000	0.000000	38.113406	-122.267736	100.000000	1
6	0	3	177	2.000000	30.000000	0.000000	0.000000	0.000000	0.000000	100.000000	1
7	0	3	16	0.000000	0.000000	0.000000	0.000000	38.108324	-122.265730	80.000000	1
8	0	3	16	0.000000	0.000000	0.000000	0.000000	38.109826	-122.266266	80.000000	1
9	0	3	16	0.000000	0.000000	0.000000	0.000000	38.111954	-122.268241	30.000000	1
10	0	3	21	0.000000	0.000000	0.000000	0.000000	38.113152	-122.269464	0.000000	1
